gene_symbol	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
MRPL20-AS1	MRPL20-AS1	False	False	False	2.50222090636804	0.25	True	False	0.013355638352202426	-4.674961055413489	-0.47985741
MRPL20	MRPL20	False	False	False	44.8298070184123	0.25	True	False	0.28375437894412037	-2.9846356507837672	-0.8218375
AL391244.2	AL391244.2	False	False	False	0.530638401709228	0.25	True	False	-0.0002237434106502622		0.0
ANKRD65	ANKRD65	False	False	False	0.850487163520009	0.25	True	False	0.012707645810311495	-3.9492571905887783	0.15428533
ATAD3C	ATAD3C	False	False	False	0.474961922342475	0.25	True	False	0.0018041750894048655	-4.745787182610078	-0.5417475
ATAD3B	ATAD3B	False	False	False	6.70346821633704	0.25	True	False	0.030012085720121078	-3.9844259169091423	0.12355379
ATAD3A	ATAD3A	False	False	False	7.93055078812906	0.25	True	True	0.029619346596868042	-2.9356782930999117	1.0399823
SSU72	SSU72	False	False	False	44.0146134987992	0.25	True	False	0.24783742972380823	-3.869040406634915	-1.877215
AL645728.1	AL645728.1	False	False	False	3.87007258102033	0.25	True	False	0.02705802562784854	-4.91464524786738	-0.68930095
FNDC10	FNDC10	False	False	False	2.83829400982113	0.25	True	False	0.019144725315602504	-4.391915356094005	-0.23252323
AL691432.4	AL691432.4	False	False	False	0.357282016140884	0.25	True	False	0.0011921480352356305	-4.828345389178673	-0.61388946
AL691432.2	AL691432.2	False	False	False	2.22494580547589	0.25	True	False	0.009836177551054115	-5.169251579309536	-0.91178393
MIB2	MIB2	False	False	False	12.4375862831399	0.25	True	True	0.07082846145565641	-3.243978135945993	0.77058023
MMP23B	MMP23B	False	False	False	2.73957623233198	0.25	True	True	0.016396175201907892	-3.292130245122378	0.7285034
CDK11B	CDK11B	False	False	False	16.1471296545562	0.25	True	False	0.09501685460428941	-4.2519780877874025	-0.11024167
FO704657.1	FO704657.1	False	False	False	0.339223001433676	0.25	True	False	0.0021886824896313645	-5.106618696038648	-0.8570534
SLC35E2B	SLC35E2B	False	False	False	3.47129983968559	0.25	True	False	0.02647947171666418	-4.594484279970499	-0.4095343
CDK11A	CDK11A	False	False	False	23.8810564818417	0.25	True	False	0.15293003925421114	-4.095354856810095	-1.4847118
SLC35E2A	SLC35E2A	False	False	False	2.59199229320584	0.25	True	False	0.019085831469513006	-5.277439783782204	-1.0063221
NADK	NADK	False	False	False	13.1257819459675	0.25	True	True	0.1712829984101109	-1.9125646650161945	1.1319319
GNB1	GNB1	False	False	False	52.1528679025902	0.25	True	False	0.3095892383269639	-2.8285438223250585	-1.1387007
GABRD	GABRD	False	False	False	0.376448744904044	0.25	True	False	0.0009345114761186871	-5.376532409195236	-1.0929124
PRKCZ	PRKCZ	False	False	False	1.80256958257538	0.25	True	False	0.009508412451717511	-5.573806832189226	-1.265297
AL590822.2	AL590822.2	False	False	False	0.290436215283849	0.25	True	False	0.0034129576786740483	-5.916805742200163	-1.5650202
FAAP20	FAAP20	False	False	False	37.9697216656106	0.25	True	False	0.23915314579263638	-3.4653656102315042	-1.395502
SKI	SKI	False	False	False	11.7763375459964	0.25	True	False	0.04817338096977514	-4.51358992771383	-0.3388463
AL590822.3	AL590822.3	False	False	False	0.558651924259209	0.25	True	False	-0.0013860771438040426		0.0
MORN1	MORN1	False	False	False	1.21300678411107	0.25	True	False	0.009813826244127445	-5.640864185003949	-1.3238938
AL513477.2	AL513477.2	False	False	False	0.328087687850316	0.25	True	False	0.0033296050935347756	-6.244697212944852	-1.851542
RER1	RER1	False	False	False	31.3863121149134	0.25	True	False	0.21948323234430242	-3.0637626111325353	-0.9162612
PEX10	PEX10	False	False	False	3.09428732900381	0.25	True	False	0.020511197880402746	-5.408482373360514	-1.1208314
PLCH2	PLCH2	False	False	False	0.746501042914371	0.25	True	False	0.007622712516340169	-4.4708195352570135	-0.3014722
PANK4	PANK4	False	False	False	1.47803154448927	0.25	True	False	0.00428030406193429	-4.941025617433069	-0.712353
HES5	HES5	False	False	False	0.390228664560046	0.25	True	False	0.0007699834065552646	-3.5305600186702124	0.520156
AL139246.5	AL139246.5	False	False	False	5.18819932166514	0.25	True	False	0.03580827236044483	-4.5077010066881655	-0.33370036
TNFRSF14-AS1	TNFRSF14-AS1	False	False	False	1.72262461027662	0.25	True	False	0.011785843010658728	-5.384856676850259	-1.1001865
TNFRSF14	TNFRSF14	False	False	False	24.4871429128792	0.25	True	False	0.19444403734408966	-3.730035238134373	-1.046781
PRXL2B	PRXL2B	False	False	False	2.71098556400573	0.25	True	False	0.010450924960372737	-3.626721650409422	0.43612698
MMEL1	MMEL1	False	False	False	0.445574520889851	0.25	True	False	0.0019305025159547496	-4.907261420448494	-0.68284875
TTC34	TTC34	False	False	False	0.565514983835885	0.25	True	False	0.003278448853762124	-5.915558615950283	-1.5639304
PRDM16-DT	PRDM16-DT	False	False	False	0.449565702397729	0.25	True	False	0.0009929323063352933	-3.126932905151079	0.87285805
PRDM16	PRDM16	False	False	False	0.644280895559345	0.25	True	False	0.003631478230567141	-4.0179212856875886	0.09428449
MEGF6	MEGF6	False	False	False	2.30136657591929	0.25	True	True	0.014834663329878636	-3.459966115439481	0.5818432
TPRG1L	TPRG1L	False	False	False	7.56452858948257	0.25	True	False	0.047233862118795114	-5.0118566014529184	-0.7742473
WRAP73	WRAP73	False	False	False	6.39493948425925	0.25	True	False	0.03991768310774889	-5.463550784464351	-1.1689519
TP73	TP73	False	False	False	0.251202580436906	0.25	True	False	0.0017306629651579974	-6.047307352630104	-1.6790565
SMIM1	SMIM1	False	False	False	14.4841274381998	0.25	True	True	0.04902249394961447	-0.4813347665963886	3.1846645
LRRC47	LRRC47	False	False	False	9.96795271649333	0.25	True	False	0.05384084190866702	-4.277512944669721	-0.13255483
CEP104	CEP104	False	False	False	6.38864475766236	0.25	True	False	0.04671572491934493	-4.78720850361285	-0.5779428
DFFB	DFFB	False	False	False	2.23697183800805	0.25	True	False	0.01427591881175587	-5.068195611460907	-0.8234781
C1orf174	C1orf174	False	False	False	12.0838452005906	0.25	True	False	0.05890596380707692	-4.124029850280299	0.0015635048
NPHP4	NPHP4	False	False	False	0.754634302403602	0.25	True	False	0.004993347737212813	-5.289582702454018	-1.0169331
KCNAB2	KCNAB2	False	False	False	24.1563605430871	0.25	True	False	0.14494127662207693	-2.9858467904742474	-0.15467684
RPL22	RPL22	False	False	False	284.997162914043	0.25	True	False	1.1717518077855118	-2.0462328869987987	-0.6974116
RNF207	RNF207	False	False	False	0.319760045941667	0.25	True	False	0.0004356811202355049	-3.4739182782571123	0.56965137
ICMT	ICMT	False	False	False	5.35539312078181	0.25	True	False	0.02938439579632369	-4.131759014328235	-0.0051904805
GPR153	GPR153	False	False	False	0.542630617871673	0.25	True	False	0.0037813595670922735	-5.52981826929055	-1.2268584
ACOT7	ACOT7	False	False	False	5.50836151657192	0.25	True	True	0.017019117508802264	-3.3028778831999617	0.7191118
AL031848.2	AL031848.2	False	False	False	0.659754067646943	0.25	True	False	0.007191224455394289	-6.141293777944972	-1.7611848
ESPN	ESPN	False	False	False	1.13369483454854	0.25	True	False	0.0038023845221761016	-2.538914146227612	1.3866872
TNFRSF25	TNFRSF25	False	False	False	4.9827627336271	0.25	True	True	0.03139695003743983	-2.1986776338617777	1.6839966
NOL9	NOL9	False	False	False	10.8600159512489	0.25	True	False	0.0462535928809339	-3.784481093147051	0.29827183
ZBTB48	ZBTB48	False	False	False	4.45215666497446	0.25	True	False	0.04238289732359482	-4.563024859840462	-0.38204408
KLHL21	KLHL21	False	False	False	4.22620530951625	0.25	True	False	0.012499548877871202	-4.772337327908009	-0.56494784
PHF13	PHF13	False	False	False	2.51477435892401	0.25	True	False	0.015160676324080297	-3.8057276776562983	0.2797059
THAP3	THAP3	False	False	False	4.43625053621334	0.25	True	False	0.02202931107732169	-5.25150435275632	-0.983659
DNAJC11	DNAJC11	False	False	False	5.1032674419614	0.25	True	False	0.031534536037471875	-3.855235521717448	0.2364444
CAMTA1	CAMTA1	False	False	False	32.194605684503	0.25	True	False	0.1648331166408057	-3.145752209979095	-0.3463652
VAMP3	VAMP3	False	False	False	20.1648287552107	0.25	True	True	0.16094894970204313	-2.330375106249848	0.63107705
PER3	PER3	False	False	False	1.79968463814346	0.25	True	False	0.006451384385990033	-4.546055469436913	-0.3672157
UTS2	UTS2	False	False	False	1.23951565467847	0.25	True	False	0.0026248833074002265	-4.421793026781495	-0.2586313
TNFRSF9	TNFRSF9	False	False	False	1.25928637896722	0.25	True	False	0.004077781985193873	-3.520990893364647	0.52851784
PARK7	PARK7	False	False	False	86.6644512243246	0.25	True	False	0.44840864015753457	-2.2889011228848672	-0.6935521
ERRFI1	ERRFI1	False	False	False	0.369599863591177	0.25	True	False	0.001320526445305832	-4.861876885284182	-0.6431903
RERE	RERE	False	False	False	23.1798315688144	0.25	True	False	0.13424089311035195	-2.587964299622784	0.32228917
ENO1	ENO1	False	False	False	108.58937762027	0.25	True	True	0.6750422170550343	-0.9362140261207861	0.56867296
ENO1-AS1	ENO1-AS1	False	False	False	0.488365363429533	0.25	True	False	0.003631942176170593	-5.467377037888725	-1.1722953
SLC2A5	SLC2A5	False	False	False	2.18353354135912	0.25	True	False	0.00424657013747238	-3.2651784541711257	0.75205475
GPR157	GPR157	False	False	False	1.2938021893192	0.25	True	False	0.006405033084302552	-5.479320582218625	-1.182732
MIR34AHG	MIR34AHG	False	False	False	0.267217753381125	0.25	True	False	0.0010315223331726947	-3.6739955255628742	0.3948176
H6PD	H6PD	False	False	False	4.66294148436095	0.25	True	False	0.03484131555008161	-5.1851898344212835	-0.9257113
SPSB1	SPSB1	False	False	False	0.545677068598866	0.25	True	False	0.00905049996406381	-4.542935618555664	-0.36448947
SLC25A33	SLC25A33	False	False	False	13.5487809156292	0.25	True	True	0.058951773924946396	-3.0938902678466005	0.9017317
TMEM201	TMEM201	False	False	False	2.22675191431655	0.25	True	False	0.007952170530319432	-4.2047279982693	-0.06895306
PIK3CD	PIK3CD	False	False	False	9.52826327788543	0.25	True	False	0.05908990634934873	-4.5465302600094795	-0.36763057
PIK3CD-AS1	PIK3CD-AS1	False	False	False	0.330807358917749	0.25	True	False	0.004349614503596848	-5.390965720676409	-1.1055247
PIK3CD-AS2	PIK3CD-AS2	False	False	False	0.791439718581694	0.25	True	False	-5.2961448609491206e-05		0.0
CLSTN1	CLSTN1	False	False	False	10.6285804615079	0.25	True	False	0.09567993799580812	-3.62131990517633	0.4408472
CTNNBIP1	CTNNBIP1	False	False	False	10.9165832998639	0.25	True	True	0.06788760093267299	-3.5127921446527672	0.53568214
LZIC	LZIC	False	False	False	17.6750001087212	0.25	True	False	0.1099961414131016	-3.9933988975199712	-1.362491
NMNAT1	NMNAT1	False	False	False	1.9171083626297	0.25	True	False	0.021310157480656185	-4.869601800274868	-0.6499406
RBP7	RBP7	False	False	False	6.96099795354671	0.25	True	True	0.06033517287597612	-2.0089903059393075	1.8497512
UBE4B	UBE4B	False	False	False	8.91839872837286	0.25	True	False	0.04103506129485395	-4.331800540110979	-0.17999303
KIF1B	KIF1B	False	False	False	11.5004949096756	0.25	True	True	0.060245270106412244	-3.420328012390642	0.6164802
AL139424.3	AL139424.3	False	False	False	0.306192925069891	0.25	True	False	0.00047254146309345344	-4.657692619770316	-0.46476772
PGD	PGD	False	False	False	33.2033490766535	0.25	True	True	0.3144930294787942	-0.9087623205290918	1.3097527
CENPS	CENPS	False	False	False	5.50611054668239	0.25	True	True	0.013412017373781492	-2.4723274281115937	1.4448727
CORT	CORT	False	False	False	0.46176904782111	0.25	True	False	0.0020197657932318753	-5.374467011392814	-1.0911076
DFFA	DFFA	False	False	False	11.2643269806454	0.25	True	False	0.06380143529577749	-3.7461950014256105	0.33172742
PEX14	PEX14	False	False	False	3.19867230160279	0.25	True	False	0.026660243606815886	-4.698955333569045	-0.5008244
CASZ1	CASZ1	False	False	False	5.03740732797506	0.25	True	False	0.016710072218359174	-4.635457059256571	-0.4453376
TARDBP	TARDBP	False	False	False	29.4477278209228	0.25	True	True	0.13456725640014852	-2.1561709387936685	0.8399062
AL109811.2	AL109811.2	False	False	False	6.04824535651627	0.25	True	False	0.03516927338614044	-4.627471959450996	-0.43835998
SRM	SRM	False	False	False	31.8774812279445	0.25	True	True	0.11953013506132315	-2.194512548668178	0.79394376
EXOSC10	EXOSC10	False	False	False	13.4480831701098	0.25	True	True	0.06928211457619994	-3.2126603255947552	0.7979467
AL109811.1	AL109811.1	False	False	False	0.396088800802451	0.25	True	False	0.0007004589137279264	-4.616459605253193	-0.428737
EXOSC10-AS1	EXOSC10-AS1	False	False	False	0.397185347100595	0.25	True	False	0.0025869303277547473	-5.583651356530518	-1.2738994
MTOR	MTOR	False	False	False	7.07256911844838	0.25	True	False	0.032572589224364706	-4.2593397153539225	-0.11667449
UBIAD1	UBIAD1	False	False	False	5.13611074434769	0.25	True	False	0.030714648107558726	-5.1801443007420875	-0.9213024
FBXO2	FBXO2	False	False	False	0.953302383259642	0.25	True	False	0.007887298934280106	-4.5131488231526475	-0.33846083
FBXO44	FBXO44	False	False	False	2.84796702343205	0.25	True	False	0.021225245746367093	-5.3932250137856075	-1.107499
FBXO6	FBXO6	False	False	False	5.41978605799704	0.25	True	True	0.07886755371689104	-2.8912182110096936	1.0788329
MAD2L2	MAD2L2	False	False	False	15.5097627400573	0.25	True	True	0.09563119932352299	-3.471869500539091	0.57144165
DRAXIN	DRAXIN	False	False	False	0.564174409818779	0.25	True	False	0.0057673636995420685	-6.068081941265611	-1.6972101
AGTRAP	AGTRAP	False	False	False	30.5603942207483	0.25	True	True	0.37493857152540416	-0.9240840533051834	1.2902117
MTHFR	MTHFR	False	False	False	12.7982289030683	0.25	True	False	0.06491001765592136	-3.919644515964881	0.1801618
CLCN6	CLCN6	False	False	False	3.99243950214781	0.25	True	False	0.02548705934721448	-4.948089902072349	-0.71852595
AL021155.5	AL021155.5	False	False	False	19.4607577700598	0.25	True	True	0.14822451121504937	-2.149566448169129	0.8478234
KIAA2013	KIAA2013	False	False	False	11.3035955748126	0.25	True	True	0.0917290428338792	-3.387144658935862	0.6454769
PLOD1	PLOD1	False	False	False	4.82450108179409	0.25	True	True	0.05077918321310432	-3.201927547469305	0.80732536
MFN2	MFN2	False	False	False	6.53946364966056	0.25	True	False	0.02818607881800022	-3.967540718138558	0.1383086
MIIP	MIIP	False	False	False	10.9394408198067	0.25	True	True	0.13640987348421782	-2.3087214371954223	0.65703464
TNFRSF8	TNFRSF8	False	False	False	0.354809876131319	0.25	True	False	0.004246552600331082	-5.33629455895473	-1.0577513
TNFRSF1B	TNFRSF1B	False	False	False	38.1141271412857	0.25	True	True	0.25912297843001914	-1.7869003746087448	0.60744363
VPS13D	VPS13D	False	False	False	10.2888797204114	0.25	True	False	0.05657740699536487	-3.837491375111497	0.2519498
DHRS3	DHRS3	False	False	False	8.81168214027166	0.25	True	True	0.03295570592694398	-3.015587453230101	0.9701552
PRDM2	PRDM2	False	False	False	53.2393067259565	0.25	True	False	0.22060947584324536	-2.2310958417448066	0.07737642
KAZN	KAZN	False	False	False	0.451291228510265	0.25	True	False	0.0017996079983148643	-4.467394289316026	-0.29847908
TMEM51	TMEM51	False	False	False	0.676772229464307	0.25	True	False	0.0021646199438277985	-3.826030626578853	0.26196456
AL031283.1	AL031283.1	False	False	False	0.475493951964856	0.25	True	False	0.0032644553797150453	-4.463259245454246	-0.29486576
EFHD2	EFHD2	False	False	False	81.6867100625874	0.25	True	False	0.5565752781820565	-1.1646062742282872	0.34320897
CASP9	CASP9	False	False	False	4.56357254575084	0.25	True	False	0.019419305272189602	-4.478039439875463	-0.30778116
DNAJC16	DNAJC16	False	False	False	4.49414034198393	0.25	True	False	0.03599716174164427	-5.365054288727262	-1.0828825
AGMAT	AGMAT	False	False	False	0.879948640029683	0.25	True	False	0.00735464934257043	-4.721823721653662	-0.5208075
DDI2	DDI2	False	False	False	13.3034055005878	0.25	True	True	0.06147994136358088	-2.6436061929950037	1.295204
PLEKHM2	PLEKHM2	False	False	False	19.5288298447605	0.25	True	False	0.10478753179602206	-3.561729386414801	-0.84502244
SLC25A34	SLC25A34	False	False	False	0.63246931526147	0.25	True	False	0.00041424796652538823	-4.499942686877686	-0.3269209
FBLIM1	FBLIM1	False	False	False	0.56146342825571	0.25	True	False	0.0023026458745515556	-5.172538579918418	-0.9146562
UQCRHL	UQCRHL	False	False	False	3.08913103714932	0.25	True	False	0.010466602647926178	-4.668492493262927	-0.474205
AL450998.2	AL450998.2	False	False	False	8.08974273634211	0.25	True	False	0.04387679445945605	-4.314635732854594	-0.16499388
SPEN	SPEN	False	False	False	40.6203091567008	0.25	True	True	0.1722064523925482	-2.118462721701899	0.8851093
ZBTB17	ZBTB17	False	False	False	5.29643740245301	0.25	True	False	0.021955226205535285	-4.636479722143074	-0.44623125
EPHA2	EPHA2	False	False	False	0.482395371365413	0.25	True	False	-0.0002544428534756382		0.0
ARHGEF19	ARHGEF19	False	False	False	1.45024002171643	0.25	True	False	0.009039671507033841	-5.154057274216075	-0.8985067
AL109627.1	AL109627.1	False	False	False	0.45705857246781	0.25	True	False	0.0018799599846474728	-5.7705587729962575	-1.437225
CPLANE2	CPLANE2	False	False	False	0.43834993416867	0.25	True	False	0.0014989490857036112	-5.304610472990345	-1.0300648
FBXO42	FBXO42	False	False	False	9.34933777718434	0.25	True	False	0.04368380491393442	-4.341608238938417	-0.1885633
SZRD1	SZRD1	False	False	False	25.32203202597	0.25	True	False	0.17901414511045008	-2.867497593896209	-0.012804441
SPATA21	SPATA21	False	False	False	0.298407024383109	0.25	True	False	0.00027469133444683435	-3.7290938158356792	0.346671
NECAP2	NECAP2	False	False	False	21.4708847020875	0.25	True	False	0.16711190158023354	-2.8175752185466365	0.047040556
LINC01772	LINC01772	False	False	False	1.00569154030297	0.25	True	False	0.007328431608041809	-5.9206899950812995	-1.5684143
AL137802.2	AL137802.2	False	False	False	0.40541902149012	0.25	True	False	0.0042806295703798495	-5.353024044757044	-1.07237
NBPF1	NBPF1	False	False	False	1.31079825720803	0.25	True	False	0.011170420960301658	-5.169465670992724	-0.91197103
CROCC	CROCC	False	False	False	1.65314349998246	0.25	True	False	0.02082387719408231	-6.332996051085875	-1.9287003
BX284668.5	BX284668.5	False	False	False	5.08700671922713	0.25	True	False	0.04847586609345679	-3.948588637864436	0.15486953
BX284668.6	BX284668.6	False	False	False	0.870576117107787	0.25	True	False	0.008701627493610196	-5.0754216211464565	-0.8297924
ATP13A2	ATP13A2	False	False	False	3.89775624937788	0.25	True	False	0.02628408628485935	-4.16321393009674	-0.03267677
SDHB	SDHB	False	False	False	25.9191451910108	0.25	True	True	0.16478659117800934	-2.3993409463053643	0.5484035
PADI2	PADI2	False	False	False	1.46146383548691	0.25	True	False	0.004841804716564579	-3.2082527815262685	0.80179816
PADI4	PADI4	False	False	False	8.42297954546692	0.25	True	True	0.024957491908361287	-2.580555420261463	1.3502997
RCC2	RCC2	False	False	False	31.083418804877	0.25	True	True	0.09903158846623938	-2.4032671033365305	0.54369694
ARHGEF10L	ARHGEF10L	False	False	False	1.63302493450837	0.25	True	False	0.014017729977136385	-3.8271141281773025	0.26101777
ALDH4A1	ALDH4A1	False	False	False	2.03579328327701	0.25	True	False	0.018982320453318307	-3.926369659255515	0.17428517
IFFO2	IFFO2	False	False	False	4.42247803755967	0.25	True	False	0.03232890029881728	-3.6014157946267833	0.45824003
UBR4	UBR4	False	False	False	16.1815849607136	0.25	True	True	0.07912815046954204	-2.9120168295819218	1.0606585
EMC1-AS1	EMC1-AS1	False	False	False	0.698747950184299	0.25	True	False	0.0020898268777509678	-5.896062914661874	-1.5468944
EMC1	EMC1	False	False	False	6.2853296986552	0.25	True	False	0.035033890342826515	-4.363062183300248	-0.20731042
MRTO4	MRTO4	False	False	False	15.7351078526895	0.25	True	True	0.06976870994987751	-2.5615296825352734	1.366925
AKR7A2	AKR7A2	False	False	False	22.0522211718247	0.25	True	True	0.08629241661604727	-2.9813027173560744	1.0001142
SLC66A1	SLC66A1	False	False	False	1.72473626441622	0.25	True	False	0.008353731386692806	-4.606909914404892	-0.42039222
CAPZB	CAPZB	False	False	False	65.0577406507888	0.25	True	False	0.44095415266114496	-2.6441192939894127	-1.1370625
MICOS10	MICOS10	False	False	False	59.5101025456299	0.25	True	False	0.3179093022924835	-2.480606378836351	-0.6949478
NBL1	NBL1	False	False	False	3.17959414598947	0.25	True	False	0.006406117858469577	-3.175393784568528	0.8305114
TMCO4	TMCO4	False	False	False	2.95285540258988	0.25	True	False	0.030072446240865566	-5.40855743224545	-1.1208969
OTUD3	OTUD3	False	False	False	4.18333601209422	0.25	True	False	0.01632080097789722	-4.754390187619443	-0.5492651
UBXN10-AS1	UBXN10-AS1	False	False	False	0.71316526348776	0.25	True	False	0.0058137677069984095	-5.148790644352183	-0.89390457
UBXN10	UBXN10	False	False	False	1.10669696722312	0.25	True	False	0.006214922502218902	-4.073866405047804	0.045397893
CAMK2N1	CAMK2N1	False	False	False	1.70687763212054	0.25	True	False	0.010742720492242981	-3.8212668798814056	0.26612726
MUL1	MUL1	False	False	False	5.72589617687041	0.25	True	False	0.025487630519590507	-4.586208781890017	-0.40230292
CDA	CDA	False	False	False	12.598141386866	0.25	True	True	0.22230968415804994	-0.8644204657491178	1.7082571
PINK1	PINK1	False	False	False	4.48722093731756	0.25	True	False	0.03611333483635022	-4.261404418238088	-0.11847869
PINK1-AS	PINK1-AS	False	False	False	0.658929400477536	0.25	True	False	0.0023290250593694883	-5.615932400403631	-1.3021077
DDOST	DDOST	False	False	False	34.6186074424732	0.25	True	False	0.17877604977356124	-2.7841959935454956	0.08705427
KIF17	KIF17	False	False	False	0.940231633718197	0.25	True	False	0.009327556965577584	-3.503934808769268	0.543422
HP1BP3	HP1BP3	False	False	False	69.3106971036996	0.25	True	False	0.4481179230984642	-2.860150728801618	-1.4067904
EIF4G3	EIF4G3	False	False	False	23.5125948866552	0.25	True	False	0.16290776222025727	-2.9606304376891392	-0.12444846
ECE1	ECE1	False	False	False	6.19206244401742	0.25	True	False	0.05365678444833985	-3.593778826433966	0.46491346
NBPF3	NBPF3	False	False	False	0.837571807840472	0.25	True	False	0.0029352077343406556	-5.102888043549542	-0.85379344
RAP1GAP	RAP1GAP	False	False	False	0.873094015912045	0.25	True	False	0.0035004340498607962	-3.339848194172893	0.68680596
USP48	USP48	False	False	False	31.7819482851915	0.25	True	False	0.16242218690116408	-2.737698144893265	0.14279407
LDLRAD2	LDLRAD2	False	False	False	1.38594686224201	0.25	True	False	0.009967608097317506	-3.258277711601478	0.75808483
HSPG2	HSPG2	False	False	False	1.57785352968671	0.25	True	False	0.009934741829404377	-4.1360506437916635	-0.008940641
LINC01635	LINC01635	False	False	False	0.282310347920101	0.25	True	False	0.0050084065877946966	-6.32437570622926	-1.9211676
LINC00339	LINC00339	False	False	False	4.74037937735794	0.25	True	False	0.030399726705738782	-5.051974690168551	-0.80930376
CDC42	CDC42	False	False	False	168.095283885704	0.25	True	False	0.9274091969382394	-2.2934792571807905	-1.178507
CDC42-AS1	CDC42-AS1	False	False	False	0.426707605498288	0.25	True	False	0.0040807041323638925	-6.450953578812809	-2.0317752
CDC42-IT1	CDC42-IT1	False	False	False	3.35533399346339	0.25	True	False	0.028437198637462198	-3.616975459893416	0.4446435
ZBTB40	ZBTB40	False	False	False	4.83378338553494	0.25	True	False	0.03083525277519232	-5.006580900316602	-0.7696372
C1QA	C1QA	False	False	False	2.95137547662512	0.25	True	True	0.2141549677472328	-0.04099462133855122	2.6908672
C1QC	C1QC	False	False	False	0.509323871551489	0.25	True	True	0.04326613070556117	-1.0482991350856152	2.6892333
C1QB	C1QB	False	False	False	1.11797647101302	0.25	True	True	0.07437325265156336	-0.5303128426876564	3.141866
EPHB2	EPHB2	False	False	False	0.342291958800154	0.25	True	True	0.03012925787993498	-2.9641795890276668	1.015077
KDM1A	KDM1A	False	False	False	17.7152865159048	0.25	True	True	0.08483816027625968	-2.543281921473076	1.3828706
