index,Pair.Name,protein_name_a,Ligand.Name,protein_name_b,Receptor.Name,complex_pair,partner_a,partner_b,source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources,annotation_strategy,db,True_LR
17,ADCYAP1_VIPR2,ADCYAP1,adenylate cyclase activating polypeptide 1,VIPR2,vasoactive intestinal peptide receptor 2,,P18509,P41587,OmniPath,P41587,ADCYAP1,VIPR2,1,1,0,1,1,0,Baccin2019;CellCall;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:11931347;Baccin2019:11978642;Baccin2019:16930633;Baccin2019:8146174;Baccin2019:9928018;CellTalkDB:9928018;Cellinker:11931347;Cellinker:11978642;Cellinker:12488235;Cellinker:16930633;Cellinker:8146174;Cellinker:9928018;Guide2Pharma:11931347;Guide2Pharma:11978642;Guide2Pharma:16930633;Guide2Pharma:9928018;HPRD:8146174;LRdb:11931347;LRdb:11978642;LRdb:16930633;LRdb:8146174;LRdb:9928018;connectomeDB2020:11931347;connectomeDB2020:11978642;connectomeDB2020:16930633;connectomeDB2020:8146174;connectomeDB2020:9928018;scConnect:11931347;scConnect:11978642;scConnect:16930633;scConnect:9928018,31,6,14,LR,both,True
18,ADIPOQ_ADIPOR1,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR1,adiponectin receptor 1,,Q15848,Q96A54,OmniPath,Q96A54,ADIPOQ,ADIPOR1,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12802337;CellChatDB:21284979;CellTalkDB:12802337;Cellinker:12802337;Cellinker:21284979;HPMR:12802337;LRdb:12802337;SIGNOR:16622416;connectomeDB2020:12802337,9,3,15,LR,both,True
19,ADIPOQ_ADIPOR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR2,adiponectin receptor 2,,Q15848,Q86V24,OmniPath,Q86V24,ADIPOQ,ADIPOR2,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12802330;Baccin2019:12802337;CellChatDB:21284979;CellTalkDB:12802337;Cellinker:12802337;Cellinker:21284979;HPRD:12802337;LRdb:12802337;SIGNOR:12802337;SIGNOR:16622416;connectomeDB2020:12802337,11,4,15,LR,both,True
20,ADIPOQ_ASGR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ASGR2,asialoglycoprotein receptor 2,,Q15848,P07307,OmniPath,P07307,ADIPOQ,ASGR2,1,0,0,0,0,0,CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,,0,0,2,LR,LR,True
21,ADIPOQ_CLEC2D,ADIPOQ,"adiponectin, C1Q and collagen domain containing",CLEC2D,C-type lectin domain family 2 member D,,Q15848,Q9UHP7,OmniPath,Q9UHP7,ADIPOQ,CLEC2D,1,0,0,0,0,0,CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,,0,0,2,LR,LR,True
22,ADIPOQ_CNR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",CNR2,cannabinoid receptor 2,,Q15848,P34972,OmniPath,P34972,ADIPOQ,CNR2,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,CellTalkDB:32103204,1,1,3,LR,both,True
23,ADIPOQ_GPR152,ADIPOQ,"adiponectin, C1Q and collagen domain containing",GPR152,G protein-coupled receptor 152,,Q15848,Q8TDT2,OmniPath,Q8TDT2,ADIPOQ,GPR152,1,0,0,0,0,0,CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,,0,0,2,LR,LR,True
24,ADIPOQ_GPR42,ADIPOQ,"adiponectin, C1Q and collagen domain containing",GPR42,G protein-coupled receptor 42,,Q15848,O15529,OmniPath,O15529,ADIPOQ,GPR42,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,CellTalkDB:32103204,1,1,3,LR,both,True
25,ADIPOQ_PROKR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",PROKR2,prokineticin receptor 2,,Q15848,Q8NFJ6,OmniPath,Q8NFJ6,ADIPOQ,PROKR2,1,0,0,0,0,0,CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB,,0,0,2,LR,LR,True
26,ADM_ACKR3,ADM,adrenomedullin,ACKR3,atypical chemokine receptor 3,,P35318,P25106,OmniPath,P25106,ADM,ACKR3,1,0,0,0,0,0,Cellinker,Cellinker:29637711,1,1,1,LR,both,True
27,ADM_ADCYAP1R1,ADM,adrenomedullin,ADCYAP1R1,ADCYAP receptor type I,,P35318,P41586,OmniPath,P41586,ADM,ADCYAP1R1,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
28,ADM_ADRB2,ADM,adrenomedullin,ADRB2,adrenoceptor beta 2,,P35318,P07550,OmniPath,P07550,ADM,ADRB2,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
29,ADM_ADRB3,ADM,adrenomedullin,ADRB3,adrenoceptor beta 3,,P35318,P13945,OmniPath,P13945,ADM,ADRB3,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
30,ADM_CALCR,ADM,adrenomedullin,CALCR,calcitonin receptor,,P35318,P30988,OmniPath,P30988,ADM,CALCR,1,1,0,1,1,0,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:12565884;Baccin2019:15692146;CellTalkDB:10781016;Cellinker:12565884;Cellinker:15692146;Guide2Pharma:12565884;Guide2Pharma:15692146;LRdb:13;LRdb:15692146;connectomeDB2020:12565884;connectomeDB2020:15692146;scConnect:12565884;scConnect:15692146,13,4,13,LR,both,True
31,ADM_CALCRL,ADM,adrenomedullin,CALCRL,calcitonin receptor like receptor,,P35318,Q16602,OmniPath,Q16602,ADM,CALCRL,1,1,0,1,1,0,CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;scConnect;talklr,CellTalkDB:9620797;Cellinker:9620797;Guide2Pharma:10347248;Guide2Pharma:11693189;Guide2Pharma:9620797;HPRD:9620797;LRdb:9620797;connectomeDB2020:9620797;scConnect:10347248;scConnect:11693189;scConnect:9620797,11,3,13,LR,both,True
32,ADM_DCLK3,ADM,adrenomedullin,DCLK3,doublecortin like kinase 3,,P35318,Q9C098,OmniPath,Q9C098,ADM,DCLK3,1,0,0,0,0,0,Cellinker,Cellinker:30139742,1,1,1,LR,both,True
33,ADM_GPR182,ADM,adrenomedullin,GPR182,G protein-coupled receptor 182,,P35318,O15218,OmniPath,O15218,ADM,GPR182,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;iTALK;talklr,CellTalkDB:7592696;Cellinker:7592696;HPMR:7592696;LRdb:7592696,4,1,9,LR,both,True
34,ADM_GPR20,ADM,adrenomedullin,GPR20,G protein-coupled receptor 20,,P35318,Q99678,OmniPath,Q99678,ADM,GPR20,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
35,ADM_GPR84,ADM,adrenomedullin,GPR84,G protein-coupled receptor 84,,P35318,Q9NQS5,OmniPath,Q9NQS5,ADM,GPR84,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
36,ADM_MRGPRX2,ADM,adrenomedullin,MRGPRX2,MAS related GPR family member X2,,P35318,Q96LB1,OmniPath,Q96LB1,ADM,MRGPRX2,1,1,0,1,1,0,Baccin2019;CellPhoneDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:1611167315823560;Cellinker:15823563;Cellinker:16111673;Guide2Pharma:15823563;LRdb:16;LRdb:16111673;connectomeDB2020:15823563;connectomeDB2020:16111673;scConnect:15823563,9,4,11,LR,both,True
37,ADM_PTH1R,ADM,adrenomedullin,PTH1R,parathyroid hormone 1 receptor,,P35318,Q03431,OmniPath,Q03431,ADM,PTH1R,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
38,ADM_RAMP1,ADM,adrenomedullin,RAMP1,receptor activity modifying protein 1,,P35318,O60894,OmniPath,O60894,ADM,RAMP1,1,1,0,1,1,0,CellTalkDB;Cellinker;Guide2Pharma,CellTalkDB:15361343;Cellinker:30139742;Guide2Pharma:11693189;Guide2Pharma:12565884;Guide2Pharma:15692146;Guide2Pharma:9620797,6,6,3,LR,both,True
39,ADM_RAMP2,ADM,adrenomedullin,RAMP2,receptor activity modifying protein 2,,P35318,O60895,OmniPath,O60895,ADM,RAMP2,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Reactome_LRdb;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:9620797;Cellinker:30139742;Cellinker:9620797;Guide2Pharma:11693189;Guide2Pharma:12565884;Guide2Pharma:9620797;HPMR:9620797;LRdb:9620797;connectomeDB2020:9620797,9,4,11,LR,both,True
40,ADM_RAMP3,ADM,adrenomedullin,RAMP3,receptor activity modifying protein 3,,P35318,O60896,OmniPath,O60896,ADM,RAMP3,1,1,0,1,1,0,CellTalkDB;Cellinker;Guide2Pharma;LRdb;Reactome_LRdb;connectomeDB2020,CellTalkDB:14712479;Cellinker:27391260;Guide2Pharma:10347248;Guide2Pharma:11693189;Guide2Pharma:12565884;Guide2Pharma:15692146;connectomeDB2020:30139742,7,7,5,LR,both,True
41,ADM_TSHR,ADM,adrenomedullin,TSHR,thyroid stimulating hormone receptor,,P35318,P16473,OmniPath,P16473,ADM,TSHR,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
42,ADM_VIPR1,ADM,adrenomedullin,VIPR1,vasoactive intestinal peptide receptor 1,,P35318,P32241,OmniPath,P32241,ADM,VIPR1,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
43,ADM2_ADCYAP1R1,ADM2,adrenomedullin 2,ADCYAP1R1,ADCYAP receptor type I,,Q7Z4H4,P41586,OmniPath,P41586,ADM2,ADCYAP1R1,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
44,ADM2_ADRB2,ADM2,adrenomedullin 2,ADRB2,adrenoceptor beta 2,,Q7Z4H4,P07550,OmniPath,P07550,ADM2,ADRB2,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
45,ADM2_ADRB3,ADM2,adrenomedullin 2,ADRB3,adrenoceptor beta 3,,Q7Z4H4,P13945,OmniPath,P13945,ADM2,ADRB3,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
46,ADM2_CALCR,ADM2,adrenomedullin 2,CALCR,calcitonin receptor,,Q7Z4H4,P30988,OmniPath,P30988,ADM2,CALCR,1,1,0,1,1,0,Baccin2019;CellPhoneDB;CellTalkDB;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:15692146;CellTalkDB:15692146;Guide2Pharma:15692146;Guide2Pharma:21658025;LRdb:15692146;connectomeDB2020:15692146;scConnect:15692146;scConnect:21658025,8,2,10,LR,both,True
47,ADM2_CALCRL,ADM2,adrenomedullin 2,CALCRL,calcitonin receptor like receptor,,Q7Z4H4,Q16602,OmniPath,Q16602,ADM2,CALCRL,1,1,0,1,1,0,Baccin2019;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:14615490;CellTalkDB:14615490;Cellinker:14615490;Guide2Pharma:21658025;LRdb:14615490;connectomeDB2020:14615490;scConnect:21658025,7,2,11,LR,both,True
48,ADM2_DCLK3,ADM2,adrenomedullin 2,DCLK3,doublecortin like kinase 3,,Q7Z4H4,Q9C098,OmniPath,Q9C098,ADM2,DCLK3,1,0,0,0,0,0,Cellinker,Cellinker:30139742,1,1,1,LR,both,True
49,ADM2_GPR20,ADM2,adrenomedullin 2,GPR20,G protein-coupled receptor 20,,Q7Z4H4,Q99678,OmniPath,Q99678,ADM2,GPR20,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
50,ADM2_GPR84,ADM2,adrenomedullin 2,GPR84,G protein-coupled receptor 84,,Q7Z4H4,Q9NQS5,OmniPath,Q9NQS5,ADM2,GPR84,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
51,ADM2_PTH1R,ADM2,adrenomedullin 2,PTH1R,parathyroid hormone 1 receptor,,Q7Z4H4,Q03431,OmniPath,Q03431,ADM2,PTH1R,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
52,ADM2_RAMP1,ADM2,adrenomedullin 2,RAMP1,receptor activity modifying protein 1,,Q7Z4H4,O60894,OmniPath,O60894,ADM2,RAMP1,1,1,0,1,1,0,Baccin2019;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12684503;CellTalkDB:12684503;Cellinker:12684503;Cellinker:30139742;Guide2Pharma:21658025;LRdb:12684503;connectomeDB2020:12684503,7,3,10,LR,both,True
53,ADM2_RAMP2,ADM2,adrenomedullin 2,RAMP2,receptor activity modifying protein 2,,Q7Z4H4,O60895,OmniPath,O60895,ADM2,RAMP2,1,1,0,1,1,0,CellTalkDB;Cellinker;Guide2Pharma;LRdb;Reactome_LRdb;connectomeDB2020,CellTalkDB:32196115;Cellinker:20596793;Guide2Pharma:21658025;connectomeDB2020:30139743,4,4,5,LR,both,True
54,ADM2_RAMP3,ADM2,adrenomedullin 2,RAMP3,receptor activity modifying protein 3,,Q7Z4H4,O60896,OmniPath,O60896,ADM2,RAMP3,1,1,0,1,1,0,CellTalkDB;Cellinker;Guide2Pharma;LRdb;Reactome_LRdb;connectomeDB2020,CellTalkDB:27013657;Cellinker:20596793;Guide2Pharma:21658025;connectomeDB2020:30139742,4,4,5,LR,both,True
55,ADM2_TSHR,ADM2,adrenomedullin 2,TSHR,thyroid stimulating hormone receptor,,Q7Z4H4,P16473,OmniPath,P16473,ADM2,TSHR,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
56,ADM2_VIPR1,ADM2,adrenomedullin 2,VIPR1,vasoactive intestinal peptide receptor 1,,Q7Z4H4,P32241,OmniPath,P32241,ADM2,VIPR1,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
57,ADO_ADORA1,ADO,2-aminoethanethiol dioxygenase,ADORA1,adenosine A1 receptor,,Q96SZ5,P30542,OmniPath,P30542,ADO,ADORA1,1,0,0,0,0,0,Cellinker,Cellinker:23994158,1,1,1,LR,both,True
58,ADO_ADORA2A,ADO,2-aminoethanethiol dioxygenase,ADORA2A,adenosine A2a receptor,,Q96SZ5,P29274,OmniPath,P29274,ADO,ADORA2A,1,0,0,0,0,0,Cellinker,Cellinker:23994158,1,1,1,LR,both,True
59,ADO_ADORA2B,ADO,2-aminoethanethiol dioxygenase,ADORA2B,adenosine A2b receptor,,Q96SZ5,P29275,OmniPath,P29275,ADO,ADORA2B,1,0,0,0,0,0,Cellinker,Cellinker:23994158,1,1,1,LR,both,True
60,ADO_ADORA3,ADO,2-aminoethanethiol dioxygenase,ADORA3,adenosine A3 receptor,,Q96SZ5,P0DMS8,OmniPath,P0DMS8,ADO,ADORA3,1,0,0,0,0,0,Cellinker,Cellinker:23994158,1,1,1,LR,both,True
61,AFDN_EPHA7,AFDN,"afadin, adherens junction formation factor",EPHA7,EPH receptor A7,,P55196,Q15375,OmniPath,Q15375,AFDN,EPHA7,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellTalkDB:9707552;Cellinker:11544254;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;connectomeDB2020:9707552,8,2,9,LR,both,True
62,AFDN_EPHB2,AFDN,"afadin, adherens junction formation factor",EPHB2,EPH receptor B2,,P55196,P29323,OmniPath,P29323,AFDN,EPHB2,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellTalkDB:9707552;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;connectomeDB2020:9707552,7,1,9,LR,both,True
63,AFDN_EPHB3,AFDN,"afadin, adherens junction formation factor",EPHB3,EPH receptor B3,,P55196,P54753,OmniPath,P54753,AFDN,EPHB3,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,CellTalkDB:9707552;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;Lit-BM-17:9707552;connectomeDB2020:9707552,8,1,10,LR,both,True
64,AFDN_EPHB6,AFDN,"afadin, adherens junction formation factor",EPHB6,EPH receptor B6,,P55196,O15197,OmniPath,O15197,AFDN,EPHB6,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellTalkDB:9707552;Cellinker:9707552;DOMINO:9707552;HPRD:9707552;LRdb:9707552;connectomeDB2020:9707552,7,1,9,LR,both,True
65,AFDN_NECTIN1,AFDN,"afadin, adherens junction formation factor",NECTIN1,nectin cell adhesion molecule 1,,P55196,Q15223,OmniPath,Q15223,AFDN,NECTIN1,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:10225955;Cellinker:10225955;Cellinker:10617658;Cellinker:11544254;DOMINO:10225955;DOMINO:15811349;HPRD:10225955;HPRD:10617658;LRdb:10225955;LRdb:11;Lit-BM-17:10225955;Lit-BM-17:15811349;connectomeDB2020:10225955;connectomeDB2020:10617658,15,5,11,LR,both,True
66,AFDN_NECTIN2,AFDN,"afadin, adherens junction formation factor",NECTIN2,nectin cell adhesion molecule 2,,P55196,Q92692,OmniPath,Q92692,AFDN,NECTIN2,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,Cellinker:10225955;Cellinker:10733589;Cellinker:11544254;DOMINO:10225955;DOMINO:15811349;HPRD:10225955;HPRD:10733589;LRdb:1;LRdb:10733589;Lit-BM-17:10225955;Lit-BM-17:10617658;Lit-BM-17:15811349;Lit-BM-17:23750010;connectomeDB2020:10225955,15,7,11,LR,both,True
67,AFDN_NECTIN4,AFDN,"afadin, adherens junction formation factor",NECTIN4,nectin cell adhesion molecule 4,,P55196,Q96NY8,OmniPath,Q96NY8,AFDN,NECTIN4,1,0,0,0,0,0,CellTalkDB;Cellinker;DOMINO;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:25926640;Cellinker:11544254;DOMINO:15811349;HPRD:11544254;connectomeDB2020:11544254,5,3,10,LR,both,True
