Unnamed: 0,True_LR,Pair.Name,Ligand,Ligand.Name,Receptor,Receptor.Name,complex_pair,source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources,annotation_strategy,partner_a,partner_b
11,True,FLT3LG_FLT3,FLT3LG,fms related receptor tyrosine kinase 3 ligand,FLT3,fms related receptor tyrosine kinase 3,,community,P36888,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:15147956;Baccin2019:7505204;Baccin2019:9651358;CellChatDB:25992210;CellTalkDB:9651358;Cellinker:15147956;Cellinker:15618475;Cellinker:19830725;Cellinker:25992210;Cellinker:7505204;Cellinker:9651358;HPMR:12681969;HPMR:15147956;HPRD:7505204;HPRD:9651358;ICELLNET:21389326;LRdb:15147956;LRdb:7505204;LRdb:9651358;SIGNOR:10080542;SIGNOR:12681969;SPIKE:7505204;SPIKE:9651358;connectomeDB2020:15147956;connectomeDB2020:7505204;connectomeDB2020:9651358,26,9,21,both,FLT3LG,FLT3
12,True,KITLG_KIT,KITLG,KIT ligand,KIT,"KIT proto-oncogene, receptor tyrosine kinase",,community,P10721,1,1,0,1,1,0,Baccin2019;BioGRID;CancerCellMap;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;Lit-BM-17;NetPath;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;Sparser_ProtMapper;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:1375232;Baccin2019:1698556;Baccin2019:7680037;BioGRID:1375232;BioGRID:7680037;CancerCellMap:7680037;CellTalkDB:1698556;Cellinker:12036870;Cellinker:1375232;Cellinker:1698556;Cellinker:7680037;Guide2Pharma:7536489;HPRD:1375232;HPRD:7680037;ICELLNET:17662946;LRdb:1375232;LRdb:1698556;LRdb:7680037;Lit-BM-17:1375232;Lit-BM-17:17662946;Lit-BM-17:7680037;NetPath:7680037;ProtMapper:25717186;ProtMapper:26358753;SIGNOR:1698556;SIGNOR:17259966;SPIKE:1375232;SPIKE:7680037;connectomeDB2020:1375232;connectomeDB2020:1698556;connectomeDB2020:7680037;scConnect:7536489,34,9,26,both,KITLG,KIT
13,True,IGF2_IGF1R,IGF2,insulin like growth factor 2,IGF1R,insulin like growth factor 1 receptor,,community,P08069,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;SIGNOR;SPIKE;SignaLink3;UniProt_LRdb;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:9972281;CellChatDB:14604834;CellPhoneDB:27102148;CellTalkDB:9972281;Cellinker:14604834;Cellinker:9972281;HPRD:9972281;LRdb:9972281;SIGNOR:22810696;SPIKE:20980691;SignaLink3:11867533;SignaLink3:23331499;connectomeDB2020:9972281,13,7,19,both,IGF2,IGF1R
14,True,CXCL9_CXCR3,CXCL9,C-X-C motif chemokine ligand 9,CXCR3,C-X-C motif chemokine receptor 3,,community,P49682,1,1,0,1,1,0,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:12782716;Baccin2019:12884299;Baccin2019:15761110;Baccin2019:9660793;BioGRID:12782716;BioGRID:9660793;CellPhoneDB:24218476;Cellinker:12782716;Cellinker:12884299;Cellinker:15761110;Cellinker:9660793;DIP:11259614;DIP:9625760;DIP:9660793;Guide2Pharma:15761110;Guide2Pharma:9660793;HPRD:12782716;HPRD:9660793;ICELLNET:12884299;LRdb:10699158;SIGNOR:12750173;SPIKE:9660793;connectomeDB2020:12782716;connectomeDB2020:12884299;connectomeDB2020:15761110;connectomeDB2020:9660793;scConnect:15761110;scConnect:9660793,28,9,22,both,CXCL9,CXCR3
15,True,CCL5_CCR5,CCL5,C-C motif chemokine ligand 5,CCR5,C-C motif chemokine receptor 5,,community,P51681,1,1,0,1,1,0,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;KEGG-MEDICUS;LRdb;Lit-BM-17;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10318947;Baccin2019:10477718;Baccin2019:11116158;Baccin2019:12964882;Baccin2019:14637022;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9289016;Baccin2019:9790730;BioGRID:14637022;CellPhoneDB:24218476;Cellinker:10318947;Cellinker:10477718;Cellinker:11116158;Cellinker:12964882;Cellinker:14637022;Cellinker:16298345;Cellinker:8663314;Cellinker:9289016;Cellinker:9790730;DIP:10477718;DIP:10488147;DIP:9207005;DIP:9334377;Guide2Pharma:10318947;Guide2Pharma:16298345;Guide2Pharma:9790730;HPRD:10477718;HPRD:11116158;HPRD:14637022;HPRD:8663314;HPRD:9289016;ICELLNET:22633458;InnateDB:10477718;InnateDB:12213786;IntAct:23480650;IntAct:28381538;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10488147;Lit-BM-17:11116158;Lit-BM-17:11449371;Lit-BM-17:14637022;Lit-BM-17:23480650;Lit-BM-17:9207005;Lit-BM-17:9334377;ProtMapper:25923671;SPIKE:10477718;connectomeDB2020:10318947;connectomeDB2020:10477718;connectomeDB2020:11116158;connectomeDB2020:12964882;connectomeDB2020:14637022;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9289016;connectomeDB2020:9790730;scConnect:10318947;scConnect:16298345;scConnect:9790730,60,20,24,both,CCL5,CCR5
16,True,CCL8_CCR5,CCL8,C-C motif chemokine ligand 8,CCR5,C-C motif chemokine receptor 5,,community,P51681,1,1,0,1,1,0,Baccin2019;CellCall;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:1629834510477710;CellPhoneDB:24218476;Cellinker:10477718;Cellinker:12964882;Cellinker:9468473;Cellinker:9790730;DIP:10477718;DIP:9468473;Guide2Pharma:9790730;HPRD:10477718;HPRD:9468473;ICELLNET:22633458;InnateDB:10477718;LRdb:10699158;SPIKE:10477718;connectomeDB2020:10477718;connectomeDB2020:12964882;connectomeDB2020:9468473;connectomeDB2020:9790730;scConnect:9790730,20,8,19,both,CCL8,CCR5
17,True,CCL4_CCR5,CCL4,C-C motif chemokine ligand 4,CCR5,C-C motif chemokine receptor 5,,community,P51681,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:12427015;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9790730;CellTalkDB:10699158;Cellinker:12427015;Cellinker:12964882;Cellinker:16298345;Cellinker:8663314;Cellinker:9790730;DIP:10477718;DIP:10498628;DIP:9334377;DIP:9468473;Guide2Pharma:16298345;Guide2Pharma:9790730;HPRD:12427015;HPRD:8663314;ICELLNET:22633458;InnateDB:10477718;InnateDB:12427015;InnateDB:16467191;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10498628;Lit-BM-17:23597562;Lit-BM-17:9334377;Lit-BM-17:9468473;SIGNOR:20219869;SPIKE:12427015;SPIKE:8663314;connectomeDB2020:12427015;connectomeDB2020:12964882;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9790730;scConnect:16298345;scConnect:9790730,39,14,23,both,CCL4,CCR5
18,True,DKK1_LRP6,DKK1,dickkopf WNT signaling pathway inhibitor 1,LRP6,LDL receptor related protein 6,,community,O75581,1,1,1,1,1,0,Baccin2019;CancerCellMap;CellCall;CellTalkDB;Cellinker;DIP;ELM;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LMPID;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:11357136;Baccin2019:11448771;CancerCellMap:11448771;CellTalkDB:11516963;Cellinker:11357136;Cellinker:11448771;Cellinker:12527209;Cellinker:29925589;DIP:21944579;DIP:21984209;ELM:21944579;HPRD:11357136;HPRD:11448771;IntAct:11448771;IntAct:21944579;IntAct:21984209;LMPID:21944579;LRdb:11;LRdb:11357136;NetPath:11448771;NetPath:19339249;SIGNOR:11448771;SPIKE:11516963;SignaLink3:11357136;SignaLink3:11448771;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11357136;connectomeDB2020:11448771,30,12,21,both,DKK1,LRP6
19,True,DKK1_LRP5,DKK1,dickkopf WNT signaling pathway inhibitor 1,LRP5,LDL receptor related protein 5,,community,O75197,1,0,1,1,0,1,AlzPathway;Baccin2019;CancerCellMap;CellCall;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,AlzPathway:16307379;AlzPathway:18786602;AlzPathway:19101658;Baccin2019:11516963;CancerCellMap:11448771;Cellinker:11516963;HPRD:11516963;LRdb:11516963;NetPath:11448771;SPIKE:11516963;connectomeDB2020:11448771,11,5,16,both,DKK1,LRP5
20,True,WNT5A_FZD5,WNT5A,Wnt family member 5A,FZD5,frizzled class receptor 5,,community,Q13467,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:9054360;CellPhoneDB:24032637;CellTalkDB:9054360;Cellinker:9054360;HPRD:9054360;ICELLNET:11029007;LRdb:9054360;SIGNOR:9054360;SPIKE:9054360;SignaLink3:23331499;SignaLink3:9054360;connectomeDB2020:9054360,12,4,18,both,WNT5A,FZD5
21,True,TNFSF14_LTBR,TNFSF14,TNF superfamily member 14,LTBR,lymphotoxin beta receptor,,community,P36941,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10318773;Baccin2019:10799510;Baccin2019:9462508;CellTalkDB:10318773;Cellinker:10318773;Cellinker:10799510;Cellinker:9462508;HPMR:10799510;HPRD:10318773;HPRD:10799510;HPRD:9462508;ICELLNET:11239407;InnateDB:12571250;LRdb:10318773;LRdb:10799510;LRdb:9462508;Lit-BM-17:12571250;Lit-BM-17:26977880;SPIKE:9739048;connectomeDB2020:10318773;connectomeDB2020:10799510;connectomeDB2020:9462508,22,7,22,both,TNFSF14,LTBR
22,True,CD40LG_CD40,CD40LG,CD40 ligand,CD40,CD40 molecule,,community,P25942,1,1,0,1,1,0,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;Ramilowski2015;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,CellPhoneDB:23602662;Cellinker:10647992;Cellinker:1374165;Cellinker:7516405;Cellinker:7543281;DIP:1280226;HPRD:10647992;HPRD:7516405;HPRD:7543281;ICELLNET:11163401;LRdb:10647992;LRdb:1374165;LRdb:7516405;LRdb:7543281;SIGNOR:12324477;SIGNOR:19426221;SPIKE:17183360;connectomeDB2020:10647992;connectomeDB2020:1374165;connectomeDB2020:7516405;connectomeDB2020:7543281,21,10,19,both,CD40LG,CD40
