gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	T
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.0	0.333	0.0	0.286	0.282	0.509	0.146
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	1.477	3.086	0.603	3.141	1.331	3.083	1.975
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	0.57	1.052	0.05	1.254	0.726	1.239	0.332
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.0	0.008	0.003	0.001	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	0.57	1.052	0.05	1.254	0.726	1.239	0.332
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.0	0.011	0.045	0.007	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.03	0.0	0.0	0.003	0.02	0.001	0.0
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0A94DAC37	0.0	0.0	0.0	0.0	0.002	0.001	0.0
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.0	0.022	0.0	0.072	0.2	0.019	0.0
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.0	0.0	0.0	0.0	0.0	0.004	0.501
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0A3CA0C16	0.57	1.052	0.05	1.254	0.726	1.239	0.332
FN1	P02751	False	FN1_HUMAN		CPI-SS027E3D40A	0.0	0.0	0.0	0.004	0.015	0.002	0.0
C5	P01031	False	C5_HUMAN		CPI-SS00581282E	0.0	0.033	0.0	0.045	0.014	0.029	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0BAC17AD7	0.57	1.052	0.05	1.254	0.726	1.239	0.332
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE107E3C	0.57	1.052	0.05	1.254	0.726	1.239	0.332
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0315F51DD	0.298	0.167	0.357	0.587	0.996	1.111	0.476
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS08102DC9E	0.0	0.008	0.0	0.011	0.052	0.018	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.084	0.147	0.083	0.703	0.24	0.091
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.042	0.046	0.154	0.102	0.303	0.178	0.156
MIF	P14174	False	MIF_HUMAN		CPI-SS0C2B9C062	1.34	1.327	0.614	1.317	2.013	1.188	1.481
CD74	P04233	False	CD74_HUMAN		CPI-SS001BAA737	3.07	4.038	0.292	2.535	2.048	2.454	1.106
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS08D8EC856	0.57	1.052	0.05	1.254	0.726	1.239	0.332
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.544	2.159	0.571	2.698	2.034	2.733	1.49
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS09BED5DD4	0.57	1.052	0.05	1.254	0.726	1.239	0.332
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE6FCF38	0.57	1.052	0.05	1.254	0.726	1.239	0.332
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0CA4C783F	0.57	1.052	0.05	1.254	0.726	1.239	0.332
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS091AAE861	0.57	1.052	0.05	1.254	0.726	1.239	0.332
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03BD27349	0.57	1.052	0.05	1.254	0.726	1.239	0.332
NRP1	O14786	False	NRP1_HUMAN		CPI-SS03D3108AE	0.0	0.0	0.0	0.025	0.0	0.012	0.0
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.027	0.0	0.0	0.005	0.0	0.003	0.381
S100A9	P06702	False	S100A9_HUMAN		CPI-SS0E873DD1D	0.833	1.967	0.514	5.412	0.305	5.218	0.916
S100B	P04271	False	S100B_HUMAN		CPI-SS0990BCA45	0.0	0.007	0.0	0.005	0.012	0.001	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS03B60356D	0.0	0.006	0.0	0.005	0.0	0.001	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS00BC1D7B7	0.035	0.46	0.707	0.483	0.332	0.458	0.074
APP	P05067	False	APP_HUMAN		CPI-SS01C1F9BD5	0.046	0.389	0.114	0.605	0.374	0.423	0.03
C3	P01024	False	C3_HUMAN		CPI-SS07BD289CC	0.0	0.0	0.0	0.008	0.0	0.002	0.0
CALR	P27797	False	CALR_HUMAN		CPI-SS0CA60658F	0.534	0.709	1.186	0.942	1.312	0.794	0.344
LDLR	P01130	False	LDLR_HUMAN		CPI-SS05D25E16C	0.0	0.073	0.0	0.243	0.142	0.21	0.134
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0B2A7EE22	0.128	0.025	0.0	0.062	0.023	0.051	0.071
MDK	P21741	False	MDK_HUMAN		CPI-SS006C6537E	0.023	0.006	0.0	0.025	0.083	0.033	0.0
HSPG2	P98160	False	HSPG2_HUMAN		CPI-SS01611BFB1	0.0	0.015	0.0	0.007	0.052	0.008	0.0
TFPI	P10646	False	TFPI_HUMAN		CPI-SS02732F2A4	0.0	0.005	0.381	0.014	0.452	0.025	0.152
F8	P00451	False	F8_HUMAN		CPI-SS0D47CF8AB	0.0	0.0	0.0	0.005	0.016	0.013	0.0
AGRN	O00468	False	AGRN_HUMAN		CPI-SS031728D8B	0.0	0.0	0.0	0.0	0.002	0.001	0.0
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0B54D7D88	0.0	0.0	0.0	0.009	0.049	0.007	0.0
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS08E77BC24	0.0	0.0	0.0	0.0	0.017	0.013	0.0
APOA1	P02647	False	APOA1_HUMAN		CPI-SS07FDE0981	0.029	0.05	0.0	0.046	0.071	0.013	0.048
APOE	P02649	False	APOE_HUMAN		CPI-SS0401F61EA	0.0	0.022	0.0	0.012	0.015	0.007	0.0
APOC2	P02655	False	APOC2_HUMAN		CPI-SS0DACCF1C5	0.0	0.0	0.0	0.0	0.028	0.0	0.0
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS0419B80C4	0.067	0.451	0.28	0.458	0.207	0.417	0.0
MMP9	P14780	False	MMP9_HUMAN		CPI-SS0B0C9B5EB	0.0	0.0	0.0	0.0	0.0	0.001	0.0
FCN1	O00602	False	FCN1_HUMAN		CPI-SS0BDEDE435	0.085	1.385	0.095	2.67	0.054	2.741	0.177
PLAT	P00750	False	PLAT_HUMAN		CPI-SS0CAD4D1F3	0.0	0.008	0.0	0.0	0.0	0.001	0.0
SERPINA1	P01009	False	SERPINA1_HUMAN		CPI-SS052F44300	0.038	0.272	0.0	0.847	0.007	1.199	0.0
A2M	P01023	False	A2M_HUMAN		CPI-SS03A1FC511	0.0	0.0	0.0	0.0	0.003	0.001	0.0
C1QB	P02746	False	C1QB_HUMAN		CPI-SS088CA72FA	0.0	0.0	0.0	0.0	0.0	0.001	0.0
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS0C4DE5745	0.0	0.011	0.0	0.014	0.092	0.014	0.0
SERPINE2	P07093	False	SERPINE2_HUMAN		CPI-SS0BE6345A1	0.05	0.005	0.0	0.018	0.016	0.009	0.0
PSAP	P07602	False	PSAP_HUMAN		CPI-SS09F7411A6	0.303	0.836	0.448	1.435	0.328	1.764	0.411
HSP90AA1	P07900	False	HSP90AA1_HUMAN		CPI-SS0B982FDFC	1.904	1.962	2.357	1.882	2.336	1.709	2.092
LIPC	P11150	False	LIPC_HUMAN		CPI-SS09E7E3A89	0.0	0.009	0.138	0.0	0.005	0.001	0.0
HSP90B1	P14625	False	HSP90B1_HUMAN		CPI-SS0D0AAD278	0.554	1.397	1.019	1.475	1.029	1.129	0.677
VWF	P04275	False	VWF_HUMAN		CPI-SS058A32703	0.0	0.006	0.0	0.005	0.0	0.001	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS02BF2E3B8	0.0	0.0	0.0	0.004	0.015	0.002	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0805DE8B6	0.372	0.448	0.148	0.42	0.376	0.536	0.901
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS019974A83	0.029	0.009	0.0	0.0	0.01	0.005	0.0
SEMA7A	O75326	False	SEMA7A_HUMAN		CPI-SS0F6313749	0.134	0.012	0.0	0.0	0.009	0.002	0.0
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS004E2CF6B	0.0	0.0	0.0	0.0	0.003	0.0	0.0
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0BEA699C6	0.0	0.0	0.0	0.0	0.002	0.002	0.0
AGRN	O00468	False	AGRN_HUMAN		CPI-SS09FE3FCD6	0.0	0.0	0.0	0.0	0.002	0.001	0.0
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0A0F54D53	0.0	0.0	0.0	0.009	0.049	0.007	0.0
F13A1	P00488	False	F13A1_HUMAN		CPI-SS09112AE47	0.0	0.055	0.0	0.017	0.418	0.017	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS052C1D0E7	0.0	0.006	0.0	0.005	0.0	0.001	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0B1190CD5	0.0	0.0	0.0	0.004	0.015	0.002	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0E4272D6E	0.372	0.448	0.148	0.42	0.376	0.536	0.901
IGF1	P05019	False	IGF1_HUMAN		CPI-SS095F30639	0.0	0.0	0.0	0.008	0.003	0.001	0.0
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0077CF16A	0.029	0.009	0.0	0.0	0.01	0.005	0.0
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS089D6E438	0.0	0.0	0.0	0.0	0.003	0.0	0.0
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0DCBC051A	0.0	0.0	0.0	0.009	0.049	0.007	0.0
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS062574DF1	0.0	0.0	0.0	0.0	0.017	0.013	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS0F6C256BB	0.0	0.006	0.0	0.005	0.0	0.001	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS05CBE1108	0.031	0.02	0.0	0.093	0.012	0.107	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0683A318D	0.0	0.0	0.0	0.004	0.015	0.002	0.0
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0371773ED	0.029	0.009	0.0	0.0	0.01	0.005	0.0
LAMB1	P07942	False	LAMB1_HUMAN		CPI-SS095B656F8	0.0	0.008	0.0	0.0	0.012	0.005	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SS08EF9A487	0.0	0.0	0.052	0.058	0.017	0.013	0.07
COL6A1	P12109	False	COL6A1_HUMAN		CPI-SS0C8D03B03	0.0	0.007	0.0	0.005	0.003	0.002	0.058
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS0A056285E	0.0	0.0	0.0	0.0	0.003	0.0	0.0
COL6A2	P12110	False	COL6A2_HUMAN		CPI-SS07B22F53C	0.0	0.0	0.0	0.0	0.0	0.0	0.074
COL4A4	P53420	False	COL4A4_HUMAN		CPI-SS099D8A355	0.025	0.0	0.0	0.0	0.005	0.0	0.0
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0DB833B3F	0.0	0.0	0.0	0.0	0.002	0.002	0.0
TGM2	P21980	False	TGM2_HUMAN		CPI-SS0D4D0A5DA	0.064	0.008	0.403	0.016	0.0	0.006	0.0
TNXB	P22105	False	TNXB_HUMAN		CPI-SS0D5C22B5B	0.0	0.0	0.053	0.0	0.003	0.001	0.0
F13A1	P00488	False	F13A1_HUMAN		CPI-SS061158AC6	0.0	0.055	0.0	0.017	0.418	0.017	0.0
LAMB2	P55268	False	LAMB2_HUMAN		CPI-SS0B572E64A	0.0	0.01	0.0	0.023	0.029	0.039	0.0
ADAM15	Q13444	False	ADAM15_HUMAN		CPI-SS0122AF98A	0.025	0.097	0.052	0.2	0.084	0.183	0.031
LAMB3	Q13751	False	LAMB3_HUMAN		CPI-SS0E124F269	0.0	0.0	0.0	0.01	0.0	0.003	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS081035DEE	0.0	0.006	0.0	0.005	0.0	0.001	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0917DCF52	0.0	0.0	0.0	0.004	0.015	0.002	0.0
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0C2FD6EFC	0.128	0.025	0.0	0.062	0.023	0.051	0.071
F13A1	P00488	False	F13A1_HUMAN		CPI-SS0DB9B9B49	0.0	0.055	0.0	0.017	0.418	0.017	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS09B7E7E15	0.145	0.708	0.0	2.662	0.04	2.911	0.09
CD14	P08571	False	CD14_HUMAN		CPI-SS044700115	0.08	0.072	0.0	0.575	0.031	0.754	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS05E90015E	0.0	0.006	0.0	0.005	0.0	0.001	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0ABEA8AB7	0.0	0.0	0.0	0.004	0.015	0.002	0.0
THBS1	P07996	False	THBS1_HUMAN		CPI-SS06EEF3EB3	0.128	0.025	0.0	0.062	0.023	0.051	0.071
VWF	P04275	False	VWF_HUMAN		CPI-SS0A963B02A	0.0	0.006	0.0	0.005	0.0	0.001	0.0
F12	P00748	False	F12_HUMAN		CPI-SS0E90C0E37	0.0	0.019	0.0	0.016	0.084	0.009	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS0D3FBE5C7	0.0	0.006	0.0	0.005	0.0	0.001	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS02F1B2170	0.063	1.129	0.0	1.344	0.27	1.391	0.197
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS05F88F595	0.074	0.156	0.0	0.447	0.008	0.423	0.075
THBS1	P07996	False	THBS1_HUMAN		CPI-SS07D70FA3D	0.128	0.025	0.0	0.062	0.023	0.051	0.071
F12	P00748	False	F12_HUMAN		CPI-SS0EDD4F3A6	0.0	0.019	0.0	0.016	0.084	0.009	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS08D09E4CD	0.0	0.006	0.0	0.005	0.0	0.001	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS014044B97	0.063	1.129	0.0	1.344	0.27	1.391	0.197
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS06EC816B2	0.074	0.156	0.0	0.447	0.008	0.423	0.075
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0D976DC4F	0.128	0.025	0.0	0.062	0.023	0.051	0.071
F12	P00748	False	F12_HUMAN		CPI-SS0853C0705	0.0	0.019	0.0	0.016	0.084	0.009	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS091DB0F57	0.0	0.006	0.0	0.005	0.0	0.001	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS01606F44A	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0AC90ECBB	0.029	0.058	0.0	0.043	0.055	0.059	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0A0438C9D	0.917	1.151	0.614	1.397	2.035	1.381	0.985
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS022C0B580	0.034	0.009	0.0	0.006	0.028	0.0	0.0
SDC1	P18827	False	SDC1_HUMAN		CPI-SS02FB86CD3	0.0	0.0	0.0	0.0	0.0	0.001	0.0
VWF	P04275	False	VWF_HUMAN		CPI-SS0AE5FACC1	0.0	0.006	0.0	0.005	0.0	0.001	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0C78BBDA2	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0E3765D0D	0.029	0.058	0.0	0.043	0.055	0.059	0.0
SDC4	P31431	False	SDC4_HUMAN		CPI-SS09505F157	0.0	0.0	0.0	0.087	0.016	0.073	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS068F0DB9A	0.917	1.151	0.614	1.397	2.035	1.381	0.985
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS0F66C2711	0.0	0.0	0.0	0.0	0.0	0.002	0.0
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS0234F582B	0.034	0.009	0.0	0.006	0.028	0.0	0.0
SDC1	P18827	False	SDC1_HUMAN		CPI-SS0823014AA	0.0	0.0	0.0	0.0	0.0	0.001	0.0
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS047446339	0.055	0.0	0.0	0.0	0.0	0.003	0.0
ITGA1	P56199	False	ITGA1_HUMAN		CPI-SS0213B7691	0.0	0.0	0.0	0.005	0.0	0.001	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0A31FDB2B	0.031	0.02	0.0	0.093	0.012	0.107	0.0
PROS1	P07225	False	PROS1_HUMAN		CPI-SS09C4988F8	0.0	0.0	0.0	0.006	0.0	0.001	0.0
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS08678B128	0.135	0.148	0.0	0.099	0.146	0.06	0.09
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0AE8528B2	0.031	0.02	0.0	0.093	0.012	0.107	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0EAB0009F	0.0	0.0	0.0	0.004	0.015	0.002	0.0
MIF	P14174	False	MIF_HUMAN		CPI-SS00C01BC3E	1.34	1.327	0.614	1.317	2.013	1.188	1.481
MET	P08581	False	MET_HUMAN		CPI-SS06807FE55	0.0	0.0	0.0	0.0	0.0	0.001	0.0
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0A182679F	0.029	0.009	0.0	0.0	0.01	0.005	0.0
LAMB1	P07942	False	LAMB1_HUMAN		CPI-SS02341850C	0.0	0.008	0.0	0.0	0.012	0.005	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SS0FBA87D93	0.0	0.0	0.052	0.058	0.017	0.013	0.07
COL6A1	P12109	False	COL6A1_HUMAN		CPI-SS067FB30D1	0.0	0.007	0.0	0.005	0.003	0.002	0.058
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS0D4B1A2EB	0.0	0.0	0.0	0.0	0.003	0.0	0.0
COL6A2	P12110	False	COL6A2_HUMAN		CPI-SS0003E9638	0.0	0.0	0.0	0.0	0.0	0.0	0.074
ADAM10	O14672	False	ADAM10_HUMAN		CPI-SS04AAB151C	0.076	0.334	0.0	0.506	0.251	0.417	0.086
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS0703338F5	0.067	0.451	0.28	0.458	0.207	0.417	0.0
MMP9	P14780	False	MMP9_HUMAN		CPI-SS066C66704	0.0	0.0	0.0	0.0	0.0	0.001	0.0
CLDN7	O95471	False	CLDN7_HUMAN		CPI-SS0E34539EB	0.065	0.0	0.0	0.03	0.004	0.026	0.0
VIM	P08670	False	VIM_HUMAN		CPI-SS0BCAB7F53	2.423	3.489	1.073	3.426	1.881	3.334	1.794
SRGN	P10124	False	SRGN_HUMAN		CPI-SS044410085	1.094	1.553	0.687	2.536	1.32	2.573	1.951
VCAN	P13611	False	VCAN_HUMAN		CPI-SS010B52BDD	0.145	0.708	0.0	2.662	0.04	2.911	0.09
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.025	0.092	0.075	0.086	0.262	0.071	0.031
PKM	P14618	False	PKM_HUMAN		CPI-SS020F28ACA	0.331	0.703	0.046	1.127	0.433	0.959	0.282
TIMP2	P16035	False	TIMP2_HUMAN		CPI-SS0E3AD9C57	0.203	0.217	0.0	0.575	0.141	0.527	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.031	0.02	0.0	0.093	0.012	0.107	0.0
