gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Gran	HSPC	Mono	NK	T
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS062574DF1	0.0	0.021	0.128	0.007	0.071	0.017	0.003
VWF	P04275	False	VWF_HUMAN		CPI-SS0F6C256BB	0.0	0.0	0.0	0.002	0.0	0.003	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS05CBE1108	0.007	0.404	0.542	0.028	0.914	0.006	0.009
FN1	P02751	False	FN1_HUMAN		CPI-SS0683A318D	0.015	0.0	0.0	0.004	0.036	0.003	0.001
LAMA5	O15230	False	LAMA5_HUMAN		CPI-SS0371773ED	0.018	0.013	0.0	0.0	0.0	0.0	0.001
LAMB1	P07942	False	LAMB1_HUMAN		CPI-SS095B656F8	0.014	0.06	0.0	0.006	0.002	0.013	0.018
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SS08EF9A487	0.0	0.0	0.058	0.025	0.019	0.0	0.0
COL6A1	P12109	False	COL6A1_HUMAN		CPI-SS0C8D03B03	0.0	0.0	0.0	0.002	0.0	0.009	0.013
COL1A1	P02452	False	COL1A1_HUMAN		CPI-SS0A056285E	0.027	0.0	0.0	0.002	0.0	0.006	0.036
COL6A2	P12110	False	COL6A2_HUMAN		CPI-SS07B22F53C	0.0	0.009	0.0	0.004	0.002	0.238	0.152
COL4A4	P53420	False	COL4A4_HUMAN		CPI-SS099D8A355	0.0	0.0	0.0	0.001	0.0	0.004	0.003
ADAM12	O43184	False	ADAM12_HUMAN		CPI-SS0DB833B3F	0.0	0.0	0.0	0.0	0.0	0.0	0.011
TGM2	P21980	False	TGM2_HUMAN		CPI-SS0D4D0A5DA	0.027	0.0	0.0	0.002	0.08	0.0	0.0
TNXB	P22105	False	TNXB_HUMAN		CPI-SS0D5C22B5B	0.0	0.0	0.0	0.007	0.004	0.002	0.003
F13A1	P00488	False	F13A1_HUMAN		CPI-SS061158AC6	0.006	0.035	0.166	0.076	0.158	0.005	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SS08A84828E	0.0	0.0	0.0	0.0	0.0	0.002	0.006
ADAM15	Q13444	False	ADAM15_HUMAN		CPI-SS0122AF98A	0.028	0.177	0.433	0.124	0.432	0.079	0.033
LAMB3	Q13751	False	LAMB3_HUMAN		CPI-SS0E124F269	0.0	0.029	0.0	0.0	0.031	0.005	0.001
VWF	P04275	False	VWF_HUMAN		CPI-SS081035DEE	0.0	0.0	0.0	0.002	0.0	0.003	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0917DCF52	0.015	0.0	0.0	0.004	0.036	0.003	0.001
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0C2FD6EFC	0.0	0.005	0.085	0.002	0.192	0.063	0.042
F13A1	P00488	False	F13A1_HUMAN		CPI-SS0DB9B9B49	0.006	0.035	0.166	0.076	0.158	0.005	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS09B7E7E15	0.0	0.504	1.38	0.023	2.279	0.008	0.002
ADAM23	O75077	False	ADAM23_HUMAN		CPI-SS0F59EBEC8	0.0	0.0	0.0	0.0	0.0	0.0	0.01
CD14	P08571	False	CD14_HUMAN		CPI-SS044700115	0.022	0.103	0.313	0.0	0.999	0.02	0.011
VWF	P04275	False	VWF_HUMAN		CPI-SS05E90015E	0.0	0.0	0.0	0.002	0.0	0.003	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0ABEA8AB7	0.015	0.0	0.0	0.004	0.036	0.003	0.001
THBS1	P07996	False	THBS1_HUMAN		CPI-SS06EEF3EB3	0.0	0.005	0.085	0.002	0.192	0.063	0.042
VWF	P04275	False	VWF_HUMAN		CPI-SS0A963B02A	0.0	0.0	0.0	0.002	0.0	0.003	0.0
F12	P00748	False	F12_HUMAN		CPI-SS0E90C0E37	0.0	0.013	0.0	0.02	0.014	0.004	0.006
VWF	P04275	False	VWF_HUMAN		CPI-SS0D3FBE5C7	0.0	0.0	0.0	0.002	0.0	0.003	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS02F1B2170	0.203	0.741	1.581	0.3	1.862	1.98	0.572
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS05F88F595	0.016	0.103	0.26	0.007	0.576	0.41	0.037
THBS1	P07996	False	THBS1_HUMAN		CPI-SS07D70FA3D	0.0	0.005	0.085	0.002	0.192	0.063	0.042
F12	P00748	False	F12_HUMAN		CPI-SS0EDD4F3A6	0.0	0.013	0.0	0.02	0.014	0.004	0.006
VWF	P04275	False	VWF_HUMAN		CPI-SS08D09E4CD	0.0	0.0	0.0	0.002	0.0	0.003	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS014044B97	0.203	0.741	1.581	0.3	1.862	1.98	0.572
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS06EC816B2	0.016	0.103	0.26	0.007	0.576	0.41	0.037
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0D976DC4F	0.0	0.005	0.085	0.002	0.192	0.063	0.042
LTF	P02788	False	LTF_HUMAN		CPI-SS0B7EE52FF	0.005	0.0	0.0	0.0	0.107	0.01	0.0
F12	P00748	False	F12_HUMAN		CPI-SS0853C0705	0.0	0.013	0.0	0.02	0.014	0.004	0.006
VWF	P04275	False	VWF_HUMAN		CPI-SS09F8D23F9	0.0	0.0	0.0	0.002	0.0	0.003	0.0
GP1BA	P07359	False	GP1BA_HUMAN		CPI-SS095A5B8F6	0.0	0.0	0.0	0.003	0.002	0.001	0.002
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS053F13142	0.0	0.0	0.0	0.187	0.004	0.0	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS056324226	0.0	0.504	1.38	0.023	2.279	0.008	0.002
GP1BB	P13224	False	GP1BB_HUMAN		CPI-SS0A87165FB	0.0	0.0	0.017	0.02	0.016	0.0	0.001
GP9	P14770	False	GP9_HUMAN		CPI-SS081A15C77	0.0	0.0	0.0	0.002	0.0	0.0	0.001
VWF	P04275	False	VWF_HUMAN		CPI-SS091DB0F57	0.0	0.0	0.0	0.002	0.0	0.003	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS01606F44A	0.125	0.4	0.798	0.362	1.074	0.396	0.404
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0AC90ECBB	0.058	0.101	0.098	0.103	0.097	0.085	0.205
CD44	P16070	False	CD44_HUMAN		CPI-SS0A0438C9D	1.127	1.204	1.836	1.429	2.183	0.641	1.625
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS022C0B580	0.0	0.0	0.0	0.005	0.0	0.002	0.004
VWF	P04275	False	VWF_HUMAN		CPI-SS0AE5FACC1	0.0	0.0	0.0	0.002	0.0	0.003	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0C78BBDA2	0.125	0.4	0.798	0.362	1.074	0.396	0.404
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0E3765D0D	0.058	0.101	0.098	0.103	0.097	0.085	0.205
SDC4	P31431	False	SDC4_HUMAN		CPI-SS09505F157	0.0	0.051	0.188	0.009	0.144	0.009	0.015
CD44	P16070	False	CD44_HUMAN		CPI-SS068F0DB9A	1.127	1.204	1.836	1.429	2.183	0.641	1.625
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS0F66C2711	0.0	0.009	0.0	0.0	0.018	0.0	0.0
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS0234F582B	0.0	0.0	0.0	0.005	0.0	0.002	0.004
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS047446339	0.0	0.0	0.057	0.006	0.008	0.0	0.01
ITGA1	P56199	False	ITGA1_HUMAN		CPI-SS0213B7691	0.006	0.008	0.032	0.004	0.009	0.006	0.013
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.007	0.404	0.542	0.028	0.914	0.006	0.009
APP	P05067	False	APP_HUMAN		CPI-SS0BC12ECC5	0.111	1.127	0.289	0.48	0.397	0.0	0.052
NRP1	O14786	False	NRP1_HUMAN		CPI-SS013425BB9	0.0	0.134	0.0	0.0	0.01	0.0	0.001
CD300LB	A8K4G0	False	CD300LB_HUMAN		CPI-SS0B39ACA2A	0.0	0.0	0.0	0.0	0.037	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS09CE5663D	0.182	0.108	0.06	0.154	0.075	0.011	0.022
NRP2	O60462	False	NRP2_HUMAN		CPI-SS002752434	0.178	0.016	0.0	0.0	0.015	0.0	0.001
